,nb_id,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,num_stars
229,206794,False,high,high,high,low,False,True,low,low,high,low,False,False,low,False,False,low
230,209485,False,high,low,low,low,False,False,low,low,high,low,False,False,low,False,False,low
231,210672,False,high,low,low,low,False,True,low,low,high,high,False,False,high,False,False,low
232,211019,False,high,low,low,low,False,True,low,low,high,low,False,False,high,False,False,low
233,211266,False,high,low,low,low,False,True,low,low,high,low,False,False,high,False,False,low
234,211279,False,high,low,low,low,False,True,low,low,high,low,False,True,low,False,False,low
235,212789,False,low,low,low,low,True,True,low,low,high,low,False,True,low,False,False,low
236,212885,False,high,low,high,low,False,True,low,low,high,low,False,True,low,False,False,low
237,213161,False,high,low,low,low,False,True,high,low,low,high,True,False,high,False,False,low
238,213200,False,high,low,low,high,False,True,high,low,high,high,False,False,low,False,False,low
239,213976,False,high,high,low,low,False,True,low,low,high,low,True,False,low,False,False,low
240,214077,False,high,low,low,high,False,True,low,low,high,low,False,False,low,False,False,low
241,216000,False,high,low,low,low,False,True,low,low,high,low,False,True,low,False,False,low
242,218003,False,low,high,high,low,False,False,high,low,high,high,False,False,low,False,False,high
243,218821,False,high,high,high,high,False,True,high,low,high,low,False,False,low,False,False,high
244,218974,False,high,high,low,low,False,True,high,low,high,low,False,True,low,False,False,low
245,219701,False,high,high,low,high,False,False,low,low,high,low,False,False,low,False,False,low
246,219824,False,low,low,low,low,False,True,low,low,high,high,False,False,high,False,False,low
247,219962,False,high,high,low,high,False,False,low,low,high,low,False,False,low,False,False,low
248,219982,False,high,high,low,low,False,False,low,low,high,low,False,False,low,False,False,low
249,220123,False,high,low,low,low,False,True,low,low,low,high,False,True,low,False,False,low
250,222121,False,low,low,low,low,False,True,high,low,high,low,False,True,low,False,False,low
251,223124,False,low,low,low,low,False,True,high,low,high,high,False,False,high,False,False,low
252,223938,False,high,high,low,low,False,True,low,low,low,high,False,False,low,False,False,low
253,223939,False,high,high,low,low,False,True,low,low,low,low,False,False,low,False,False,low
254,224064,False,low,low,low,low,True,True,low,low,high,low,False,True,low,False,False,low
255,224299,False,high,high,low,high,False,True,high,low,high,low,False,False,low,False,False,low
256,224897,False,high,high,low,high,False,True,low,low,high,low,False,False,low,False,False,low
257,228196,False,low,high,low,low,False,False,low,low,high,low,False,False,low,False,False,low
258,228895,False,high,high,low,low,False,True,low,low,high,low,False,True,high,False,False,low
259,229053,False,high,low,low,high,False,True,low,low,high,low,False,True,high,False,False,low
260,231383,False,high,low,low,low,False,False,low,low,low,low,True,False,low,False,False,low
261,231384,False,high,low,low,low,False,False,low,low,low,low,True,False,low,False,False,low
262,231597,False,high,low,low,low,False,True,low,low,high,low,False,True,low,False,False,low
263,231614,False,high,low,low,low,False,False,low,low,low,low,True,False,low,False,False,low
264,231896,False,low,low,low,low,False,True,low,high,high,low,False,False,low,True,False,low
265,231977,False,high,high,low,low,False,False,low,low,high,low,False,False,low,False,False,low
266,232024,False,high,low,low,low,False,True,low,low,high,low,False,False,low,False,False,low
267,232677,False,high,low,low,low,False,False,low,low,low,low,True,False,low,False,False,low
268,233320,False,high,high,low,low,True,True,high,low,high,high,False,False,low,False,False,high
269,234799,False,high,low,low,low,False,False,high,low,high,low,False,True,low,False,False,low
270,235091,False,low,high,low,low,False,False,low,low,high,low,False,False,low,False,False,low
271,237737,False,high,high,low,low,False,False,low,low,high,low,False,False,low,False,False,low
272,238687,False,high,low,low,high,False,False,low,low,high,low,False,True,low,False,False,low
273,239122,False,high,low,high,low,False,True,low,low,high,low,False,False,low,False,False,low
274,239423,False,high,high,low,low,False,False,low,low,high,low,False,False,low,False,False,low
275,239538,False,high,low,low,low,False,False,low,low,high,high,False,True,low,False,False,low
276,240297,False,high,low,low,high,False,True,high,low,high,low,False,False,low,False,False,low
277,240664,False,low,low,low,low,False,False,low,low,high,low,False,False,low,False,False,low
278,240675,False,high,high,low,low,False,True,high,low,high,low,False,False,high,False,False,low
279,240787,False,high,high,low,low,False,True,high,low,high,low,False,False,high,False,False,low
280,241212,False,low,low,low,low,True,True,low,low,high,low,True,False,low,False,False,low
281,242527,False,high,low,low,low,False,False,low,low,high,low,False,True,low,False,False,low
282,243296,False,high,low,low,high,False,True,low,low,high,low,False,False,low,False,False,low
283,245252,False,high,low,low,low,False,True,low,low,high,low,False,True,high,False,False,low
284,246069,False,high,high,low,low,False,True,low,low,high,low,False,False,low,False,False,low
285,247883,False,high,high,low,low,True,True,low,low,high,low,False,False,high,False,False,low
286,248149,False,high,low,high,low,False,True,low,low,high,low,False,False,low,False,False,low
287,250366,False,high,high,high,high,False,True,high,low,high,low,False,False,low,False,False,low
288,250743,False,high,low,low,low,False,True,low,low,high,low,False,False,low,False,False,low
289,250960,False,low,low,low,low,True,True,low,low,high,low,False,False,low,False,False,low
290,251030,False,high,low,low,low,False,False,low,low,high,low,False,False,low,False,False,low
291,251069,False,high,low,low,low,False,True,low,low,high,low,False,False,low,False,False,low
292,252269,False,high,high,low,low,False,True,low,low,high,low,False,True,low,False,False,low
293,253105,False,high,low,low,low,False,False,low,low,high,low,False,False,low,False,False,low
294,253209,False,high,high,low,high,False,True,low,low,high,high,True,True,high,False,False,low
295,256791,False,high,low,low,low,False,False,high,low,high,low,False,False,low,False,False,low
296,257543,False,high,low,low,low,False,False,low,low,low,low,False,False,low,False,False,low
297,258004,False,high,high,low,low,True,True,low,low,low,low,False,False,low,False,False,high
298,258096,False,high,low,low,low,False,True,high,low,high,high,False,True,low,False,False,low
299,258097,False,high,low,low,low,False,True,high,low,high,high,False,True,low,False,False,low
300,258487,False,high,high,low,high,False,True,high,low,low,low,False,False,low,False,False,low
301,258758,False,high,high,low,high,False,True,high,low,low,low,False,False,low,False,False,low
302,259182,False,high,high,low,low,True,True,low,low,high,low,False,False,low,False,False,low
303,259376,False,high,low,low,low,False,True,low,low,high,low,False,False,high,False,False,low
304,259998,False,low,high,high,low,False,True,low,low,low,low,True,True,low,False,False,high
305,262080,False,high,low,low,high,False,True,low,low,high,low,False,False,low,False,False,low
306,262689,False,high,low,low,low,False,False,low,low,high,low,False,False,low,False,False,low
307,263103,False,high,low,low,high,False,True,high,low,high,low,False,False,low,False,False,low
308,264084,False,high,low,low,high,False,False,low,low,high,low,False,False,low,False,False,low
309,264535,False,high,high,low,low,False,True,high,low,high,low,False,True,low,False,False,low
310,266526,False,high,low,low,low,False,True,low,low,low,low,False,True,low,False,False,low
311,267008,False,high,high,low,low,False,True,low,low,high,low,False,False,low,False,False,low
312,267009,False,high,high,low,low,False,True,low,low,high,low,False,False,low,False,False,low
313,269216,False,high,low,low,low,False,False,low,low,high,low,False,True,low,False,False,low
314,269594,False,high,low,low,low,False,True,low,low,high,low,False,False,low,False,False,low
315,269614,False,high,high,low,low,False,True,high,low,high,low,False,True,low,False,False,low
316,269823,False,low,low,low,high,True,True,low,low,high,low,False,False,low,False,False,low
317,269994,False,high,low,low,low,False,True,low,low,high,low,False,False,low,False,False,low
318,270015,False,high,high,low,low,False,True,high,low,high,low,False,True,low,False,False,low
319,270224,False,low,low,low,high,True,True,low,low,high,low,False,False,low,False,False,low
320,270709,False,high,low,low,low,True,True,low,low,high,low,False,False,low,False,False,low
321,271276,False,high,high,low,low,False,True,low,low,high,high,False,False,low,False,False,low
