,nb_id,longer_beginning,longer_ending,has_author,has_equation,jupyter_prop,output_cell_prop,markdown_prop,num_contrib,image_prop,is_education,has_links,has_comments,md_frequency,has_title,num_commits,md_format,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,num_headers,has_param,num_stars
90,53145,True,False,False,False,high,high,low,low,high,True,True,True,low,False,high,True,low,low,high,True,True,low,False,low,False,low
91,53789,False,False,False,False,high,low,low,low,low,False,False,True,high,True,low,False,low,high,low,False,False,low,False,low,False,low
92,55219,False,True,False,False,high,low,low,low,low,True,False,False,low,False,low,False,low,high,low,False,False,low,False,low,False,low
93,55438,False,False,False,False,low,high,low,low,low,False,False,True,low,True,low,False,low,high,low,False,False,low,False,low,False,low
94,55798,True,True,False,True,high,high,high,low,low,True,True,True,high,False,low,True,low,high,low,False,False,high,False,low,False,low
95,56313,False,False,False,False,high,low,low,low,low,False,True,True,low,False,high,False,low,high,high,False,True,high,False,low,False,low
96,56776,True,False,False,False,high,low,low,low,low,True,False,True,high,False,low,True,high,high,low,False,False,low,False,low,False,low
97,57511,False,True,False,False,high,high,high,low,high,True,True,True,low,True,high,True,low,low,high,False,True,high,False,high,False,low
98,57578,False,False,False,False,high,low,low,low,high,False,False,True,high,False,low,False,low,high,high,False,True,low,False,high,False,low
99,57666,True,False,False,False,high,low,low,low,high,False,False,False,high,True,low,True,low,high,low,False,False,low,False,low,False,low
100,58183,False,False,False,False,high,high,low,low,low,True,False,True,high,True,low,False,low,high,low,False,False,low,False,low,False,low
101,58253,True,False,False,False,low,high,high,low,high,True,False,True,high,True,low,False,low,high,low,False,False,low,False,low,False,low
102,58570,False,False,False,False,high,high,low,low,low,True,False,True,high,True,low,False,low,high,low,False,False,low,False,low,False,low
103,59662,False,True,False,False,high,low,low,high,high,False,False,True,high,False,high,True,low,high,low,False,False,low,False,low,False,low
104,61467,True,False,False,False,high,high,low,low,low,False,False,True,high,True,low,False,low,high,low,False,True,low,False,low,False,low
105,61810,True,False,False,False,high,high,low,low,high,False,False,True,high,True,low,False,low,high,low,False,False,high,False,low,False,low
106,62030,True,False,False,False,high,high,low,low,high,False,False,True,high,True,low,False,low,high,low,False,False,high,False,low,False,low
107,62187,True,True,False,False,high,high,high,high,low,True,True,False,high,True,high,True,low,high,low,False,False,low,False,low,False,low
108,62884,False,False,False,False,high,high,low,low,low,False,False,True,low,True,low,True,low,high,low,False,False,low,False,low,False,high
109,62885,False,False,False,False,high,high,low,low,low,False,False,True,low,True,low,True,low,high,low,False,False,low,False,low,False,high
110,65501,True,True,False,False,high,high,low,low,low,True,True,True,high,True,low,False,low,high,low,False,False,low,False,low,False,low
111,65595,False,False,False,False,high,low,low,low,low,False,False,True,low,False,low,False,high,high,low,False,False,low,False,low,False,low
112,65596,False,False,False,False,high,low,low,low,low,False,False,True,low,False,low,False,high,high,low,False,False,low,False,low,False,low
113,65931,True,False,False,False,high,low,high,low,low,True,False,True,low,True,low,False,low,high,low,False,False,low,False,low,False,low
114,67208,True,True,False,True,high,low,high,low,low,True,True,True,high,True,low,True,high,high,low,False,False,low,False,low,False,low
115,67791,False,False,False,False,high,low,low,low,low,True,False,True,high,False,low,True,high,high,low,False,False,low,False,low,False,low
116,68242,True,True,False,False,high,high,high,low,high,True,True,True,high,False,high,True,low,high,low,False,True,low,False,high,False,low
117,68413,True,True,False,True,high,high,high,low,low,True,True,True,high,True,low,True,low,high,low,False,False,low,False,high,False,low
118,68468,False,False,False,False,high,high,low,low,low,True,True,True,low,True,high,True,low,high,low,True,False,low,False,high,False,low
119,68469,False,False,False,False,high,high,low,low,low,True,True,True,low,True,high,True,low,high,low,True,False,low,False,high,False,low
120,69077,False,False,False,False,high,low,high,low,low,True,True,True,low,True,low,False,high,high,low,False,False,high,False,low,False,low
121,69691,True,False,False,False,high,low,low,low,low,True,True,False,low,True,low,True,high,high,low,False,False,low,False,low,False,low
122,70193,False,False,False,False,high,high,low,low,high,False,False,True,low,False,low,False,low,high,high,False,False,high,False,low,False,low
123,70194,False,False,False,False,high,high,low,low,high,False,False,True,low,False,low,False,low,high,high,False,False,high,False,low,False,low
124,70336,True,False,False,True,high,high,high,low,low,False,True,True,high,False,high,True,low,high,low,False,False,low,False,low,False,low
125,70408,False,False,True,False,high,low,low,low,high,False,False,True,low,True,low,False,low,high,high,False,True,low,False,low,False,low
126,70692,False,False,False,False,high,low,low,low,low,False,False,True,high,True,low,False,low,high,low,False,False,low,False,low,False,low
127,71180,False,False,False,False,high,low,high,low,low,True,False,False,low,True,low,True,low,high,low,False,False,low,False,low,False,high
128,71508,True,False,False,False,high,low,low,low,low,True,False,True,low,False,low,True,high,high,low,False,False,low,False,low,False,low
129,71643,False,False,False,False,high,low,low,low,low,False,False,True,low,True,low,False,low,high,low,False,True,high,False,low,False,low
130,72219,True,True,False,True,low,high,high,low,high,True,True,True,low,False,low,True,low,high,low,False,False,low,False,high,False,low
131,72585,True,False,False,False,high,high,low,low,low,False,False,True,high,True,low,False,low,high,low,False,True,low,False,low,False,low
132,72586,False,False,False,False,high,high,low,low,high,False,False,True,high,False,low,False,low,high,low,False,False,low,False,low,False,low
133,73581,True,False,False,False,high,low,high,low,low,True,False,True,high,True,low,True,low,high,low,False,False,low,False,low,False,low
134,75367,True,False,False,False,high,high,low,low,low,False,False,True,high,True,low,False,low,high,low,True,True,low,False,low,False,low
135,75391,False,False,False,False,high,low,low,low,low,False,False,True,low,False,high,False,low,high,low,True,True,low,False,low,False,low
136,75451,True,False,False,False,high,high,low,low,high,True,False,True,low,False,low,True,low,high,low,False,False,low,False,low,False,low
137,75785,False,False,False,False,high,high,low,low,low,False,False,True,high,False,low,True,low,high,low,False,False,low,False,low,False,low
138,75843,False,False,False,False,high,low,low,low,low,False,False,True,low,False,high,False,low,high,low,True,True,low,False,low,False,low
139,76270,False,False,False,False,high,high,low,low,high,False,False,True,low,False,low,False,low,high,low,False,False,low,False,low,False,low
140,76715,True,True,False,False,high,low,high,high,low,True,True,False,high,True,low,True,high,high,low,False,False,low,False,low,False,low
