,nb_id,longer_beginning,longer_ending,has_author,has_equation,jupyter_prop,markdown_prop,num_contrib,image_prop,is_education,has_links,has_comments,md_frequency,has_title,num_commits,md_format,non_exec_prop,exec_inorder,exec_skips,has_error
143,77927,True,True,False,False,high,medium,lower,low,True,True,True,medium,False,lower,True,low,higher,lower,False
144,77931,False,False,False,False,high,medium,lower,medium,True,False,True,medium,False,lower,False,low,higher,higher,False
145,77936,True,False,False,False,high,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False
146,78213,False,False,False,False,high,medium,lower,high,False,False,True,medium,False,lower,False,medium,higher,lower,False
147,78721,False,True,False,False,medium,medium,lower,low,False,False,True,medium,True,higher,False,high,higher,lower,False
148,79517,True,False,False,False,high,high,lower,low,True,True,True,high,True,lower,True,high,higher,lower,False
149,79657,True,False,False,True,high,high,lower,low,True,False,False,low,True,lower,True,low,higher,lower,False
150,79879,True,False,False,True,high,medium,higher,low,True,False,True,medium,False,higher,True,high,higher,lower,False
151,80238,True,False,False,True,high,medium,lower,medium,True,False,True,high,True,lower,True,low,higher,lower,False
152,80393,True,False,False,False,low,medium,higher,low,False,False,True,medium,True,lower,False,low,higher,lower,False
153,80537,True,False,False,True,high,medium,lower,low,True,True,True,medium,True,lower,True,low,higher,lower,False
154,80861,True,False,False,False,high,medium,lower,medium,False,False,True,medium,False,higher,False,low,lower,higher,True
155,80862,True,False,False,False,high,medium,lower,medium,False,False,True,medium,False,higher,False,low,lower,higher,True
156,80878,True,False,False,False,high,medium,lower,low,True,True,True,medium,True,lower,True,low,higher,lower,False
157,81166,False,True,False,False,high,medium,lower,medium,True,False,True,low,True,lower,False,low,higher,lower,False
158,83127,True,False,True,True,high,medium,lower,medium,True,False,True,medium,True,lower,False,low,higher,lower,False
159,83707,True,False,False,False,high,medium,lower,low,True,True,True,medium,True,lower,True,high,higher,lower,False
160,83711,True,False,False,False,low,medium,lower,low,True,True,True,medium,True,lower,True,high,higher,lower,False
161,83886,False,False,True,False,medium,low,higher,low,False,False,True,low,False,lower,True,low,lower,higher,False
162,84503,True,False,False,False,high,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False
163,84522,False,False,False,False,high,medium,lower,low,False,False,True,medium,False,higher,False,low,higher,higher,False
164,84557,True,True,False,False,medium,high,lower,medium,True,True,True,high,True,lower,True,low,higher,higher,False
165,84651,False,False,False,False,high,medium,lower,medium,False,False,True,high,False,lower,False,low,higher,higher,True
166,84732,True,True,False,False,medium,high,lower,medium,True,True,True,high,True,lower,True,low,higher,higher,False
167,84751,False,False,False,False,high,medium,lower,low,False,False,True,medium,False,higher,False,low,higher,higher,False
168,85188,True,True,False,False,medium,high,lower,medium,True,True,True,high,True,lower,True,low,higher,lower,False
169,85373,True,True,False,False,medium,high,lower,medium,True,True,True,high,True,lower,True,low,higher,higher,False
170,85575,True,True,False,False,medium,high,lower,medium,True,True,True,high,True,lower,True,low,higher,lower,False
171,85699,True,True,False,False,medium,high,lower,medium,True,True,True,high,True,lower,True,low,higher,higher,False
172,86914,True,True,False,True,high,medium,lower,medium,True,True,True,high,True,lower,True,medium,higher,lower,False
173,86970,True,True,False,False,medium,medium,lower,low,True,True,True,high,True,lower,True,low,higher,lower,False
174,88734,False,False,False,False,high,medium,lower,medium,True,False,True,medium,False,lower,False,low,higher,higher,False
175,89030,True,True,False,False,low,high,lower,medium,True,True,True,high,True,lower,True,low,higher,lower,False
176,90294,True,True,False,False,high,medium,higher,medium,True,False,True,medium,True,higher,True,low,higher,lower,False
177,90471,False,False,False,False,high,low,lower,medium,True,False,True,low,False,lower,False,low,higher,lower,False
178,91353,False,False,False,False,high,medium,lower,low,True,False,True,medium,True,lower,True,low,higher,higher,False
