------------- CLUSTER 1 -------------------
     nb_id    repo_id                                                    nb_name                                         repo_name                                                                                                       filepath  filtered                                                                                                                                         nb_path
428    428  165207966                                                                   Random Forest.ipynb                              RanjithRShetty/Random-Forest                                                         RanjithRShetty~Random-Forest_nb/Random Forest.ipynb     False                                                                                                    Random Forest.ipynb
511    511  165215714                                                                           Darty.ipynb                             matherm/python-cv-dart-scorer                                                                matherm~python-cv-dart-scorer_nb/Darty.ipynb     False                                                                                                            Darty.ipynb
512    512  165215476                                                 ML0101EN-Proj-Loan-answer-py-v1.ipynb                           Catlily/CourseraCapstoneProject                                    Catlily~CourseraCapstoneProject_nb/ML0101EN-Proj-Loan-answer-py-v1.ipynb     False                                                                                  ML0101EN-Proj-Loan-answer-py-v1.ipynb
526    526  165218040                                                               pandas-checkpoint.ipynb                                              alalachin/TA                                                                     alalachin~TA_nb/pandas-checkpoint.ipynb     False                                                                             .ipynb_checkpoints/pandas-checkpoint.ipynb
548    548  165217230                                                               HackerRank Python.ipynb                            jayparekhjp/Python-DS-Practise                                                   jayparekhjp~Python-DS-Practise_nb/HackerRank Python.ipynb     False                                                                                                HackerRank Python.ipynb
643    643  165222008                                                                        pig_demo.ipynb                                  pasc85/pig_reinforcement                                                                  pasc85~pig_reinforcement_nb/pig_demo.ipynb     False                                                                                                         pig_demo.ipynb
699    699  165224890                                                           Session 1 Assignment .ipynb                          selvamj1996/Session-1-Assignment                                             selvamj1996~Session-1-Assignment_nb/Session 1 Assignment .ipynb     False                                                                                            Session 1 Assignment .ipynb
700    700  165221854                                        Money Ball problem on Linear Regression..ipynb  RanjithRShetty/-Money-Ball-problem-on-Linear-Regression.  RanjithRShetty~-Money-Ball-problem-on-Linear-Regression._nb/Money Ball problem on Linear Regression..ipynb     False                                                                         Money Ball problem on Linear Regression..ipynb
------------- CLUSTER 4 -------------------
      nb_id    repo_id                                                            nb_name                                                                            repo_name                                                                                            filepath  filtered                                                                                                nb_path
117     117  165200414      exercise-syntax-variables-and-numbers-2b8c87-checkpoint.ipynb                                                                  JCwow/Kaggle-Python                JCwow~Kaggle-Python_nb/exercise-syntax-variables-and-numbers-2b8c87-checkpoint.ipynb     False                                          exercise-syntax-variables-and-numbers-2b8c87-checkpoint.ipynb
224     224  165207856                                   4. Real-World Data Example.ipynb                                                           rachelkberryman/DSR_Pandas                                      rachelkberryman~DSR_Pandas_nb/4. Real-World Data Example.ipynb     False                                                                       4. Real-World Data Example.ipynb
235     235  165207685  {version.e.g.1.0}-{your_name}-describe_contents}-checkpoint.ipynb                                                               RyusukeKimura/crisp-dm         RyusukeKimura~crisp-dm_nb/{version.e.g.1.0}-{your_name}-describe_contents}-checkpoint.ipynb     False                   .ipynb_checkpoints/{version.e.g.1.0}-{your_name}-describe_contents}-checkpoint.ipynb
296     296  165210812                      sentiment_analysis_mlp_toxicity_dataset.ipynb                                                    knitemblazor/senti-kaggle-dataset                  knitemblazor~senti-kaggle-dataset_nb/sentiment_analysis_mlp_toxicity_dataset.ipynb     False                                                          sentiment_analysis_mlp_toxicity_dataset.ipynb
308     308  165205866                                         Edureka_Assignment 2.ipynb                                                       vishwa83/Data-Science-Projects                                        vishwa83~Data-Science-Projects_nb/Edureka_Assignment 2.ipynb     False                                                                             Edureka_Assignment 2.ipynb
514     514  165220095                                       NAIVE_BAYES_classifier.ipynb                                 MaharshiYeluri01/AmazonFineFoodReviewsClassification                MaharshiYeluri01~AmazonFineFoodReviewsClassification_nb/NAIVE_BAYES_classifier.ipynb     False                                                                           NAIVE_BAYES_classifier.ipynb
559     559  165213748                                    Advanced Features - Lab 3.ipynb                                                            odundar/openvino_workshop                                        odundar~openvino_workshop_nb/Advanced Features - Lab 3.ipynb     False                                                                        Advanced Features - Lab 3.ipynb
579     579  165218087                                              5_Factorization.ipynb                                                          TakaiKinoko/Python_Notebook                                                TakaiKinoko~Python_Notebook_nb/5_Factorization.ipynb     False                                              MathForML_Python_Microsoft/Module01/5_Factorization.ipynb
707     707  165222572                                                   clustering.ipynb                                                          MaharshiYeluri01/Clustering                                                     MaharshiYeluri01~Clustering_nb/clustering.ipynb     False                                                                                       clustering.ipynb
735     735  165233739                                 hackerearth-hiring-challenge.ipynb                                               sayakpaul/hackerearth-hiring-challenge                        sayakpaul~hackerearth-hiring-challenge_nb/hackerearth-hiring-challenge.ipynb     False                                                                     hackerearth-hiring-challenge.ipynb
1343   1343  165243624                                       Clean table-checkpoint.ipynb                                                                          Syndorik/BI                                                         Syndorik~BI_nb/Clean table-checkpoint.ipynb     False                                                        .ipynb_checkpoints/Clean table-checkpoint.ipynb
1636   1636  165256398                                                     Untitled.ipynb                                                                          buptzzs/MQA                                                                       buptzzs~MQA_nb/Untitled.ipynb     False                                                                               allen-nlp/Untitled.ipynb
1924   1924  165263922                                                      kernel1.ipynb                                            DavidtheGoliath/NY-Stock-Price-Prediction                                          DavidtheGoliath~NY-Stock-Price-Prediction_nb/kernel1.ipynb     False                                                                                          kernel1.ipynb
1939   1939  165267433                    Kaggle_Whale_Identification_Implement_CNN.ipynb                                                                 mfaits/Kaggle-Whales                             mfaits~Kaggle-Whales_nb/Kaggle_Whale_Identification_Implement_CNN.ipynb     False                                                        Kaggle_Whale_Identification_Implement_CNN.ipynb
1982   1982  165264911                                                        Lab12.ipynb                                                                  gweschuck/PETE_2060                                                                  gweschuck~PETE_2060_nb/Lab12.ipynb     False                                                                                            Lab12.ipynb
1986   1986  165265768                                                        index.ipynb  learn-co-students/dsc-3-25-04-visualizing-time-series-data-lab-nyc-career-ds-102218  learn-co-students~dsc-3-25-04-visualizing-time-series-data-lab-nyc-career-ds-102218_nb/index.ipynb     False                                                                                            index.ipynb
2112   2112  165270270                                    RobotORNOTfbChallenge_EDA.ipynb                                         MaharshiYeluri01/FaceBookRobotorNotChallenge                     MaharshiYeluri01~FaceBookRobotorNotChallenge_nb/RobotORNOTfbChallenge_EDA.ipynb     False                                                                        RobotORNOTfbChallenge_EDA.ipynb
2113   2113  165271785                                             Numpy_and_Pandas.ipynb                                                        princenitvik/Python-Tutorials                                             princenitvik~Python-Tutorials_nb/Numpy_and_Pandas.ipynb     False                                                                                 Numpy_and_Pandas.ipynb
2115   2115  165278093                                                        index.ipynb                     learn-co-curriculum/dsc-04-43-04-building-a-cnn-from-scratch-lab                     learn-co-curriculum~dsc-04-43-04-building-a-cnn-from-scratch-lab_nb/index.ipynb     False                                                                                            index.ipynb
2224   2224  165279501                 trade_investment_employment_globalisation_py.ipynb                                                            eurostat/statistics-coded                     eurostat~statistics-coded_nb/trade_investment_employment_globalisation_py.ipynb     False  external/trade_investment_employment_globalisation/trade_investment_employment_globalisation_py.ipynb
