,nb_id,repo_id,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,has_reqtext,num_stars,cluster,cluster_dist
71719,75517,170684391,False,0.9992318449953572,0.7692307692307693,6.0,0.2,False,True,1.0,0.2307692307692308,0.7777777777777778,26.555555555555557,False,True,13.0,False,False,False,5.0,4,493.3523385561624
71722,75520,170676476,False,1.0,0.2,1.0,0.3,True,True,1.0,0.0,1.0,1.0,False,True,1.0,False,False,False,5.0,2,6.48275136851117
71723,75521,170679423,False,0.9067378131262854,0.3333333333333333,1.0,0.75,False,True,2.0,0.0,0.8260869565217391,4.3478260869565215,False,False,20.0,False,False,False,5.0,3,395.2730464667604
71760,75559,170664500,False,0.9838721655609466,0.9166666666666666,1.0,0.0,True,True,1.0,0.0,1.0,1.0,True,False,1.0,False,False,False,2.0,2,6.48275136851117
71777,75576,170660573,False,0.9935564451956352,0.7758620689655172,1.0,0.2222222222222222,False,True,2.0,0.0,1.0,1.0,False,False,5.0,False,False,False,2.0,1,64.66808840360093
71817,75616,170674914,False,1.0,0.3181818181818182,1.0,1.0,False,True,2.0,0.0,1.0,1.7647058823529411,False,True,8.0,False,False,False,1.0,1,64.66808840360093
71818,75617,170683268,False,1.0,0.13793103448275862,1.0,0.5,True,False,1.0,0.0,1.0,1.0,False,True,0.0,False,False,False,1.0,2,6.48275136851117
71836,75635,170682026,False,0.9991972589616224,0.5,3.0,0.0,False,True,11.0,0.0,0.7,4.9,False,False,0.0,False,False,False,1.0,1,64.66808840360093
71837,75636,170649617,False,1.0,0.7666666666666667,1.0,0.3695652173913043,True,True,2.0,0.03333333333333333,0.9814814814814816,2.6481481481481484,False,False,2.0,False,False,False,1.0,2,6.48275136851117
71841,75640,170674371,False,1.0,0.0,1.0,0.0,False,True,1.0,1.0,1.0,0.0,False,False,0.0,False,False,False,1.0,1,64.66808840360093
71850,75650,170659658,False,1.0,0.5185185185185185,1.0,0.14285714285714285,True,True,1.0,0.0,0.9166666666666666,5.791666666666668,False,True,0.0,False,False,False,1.0,2,6.48275136851117
71864,75665,170715785,True,0.9911710967560337,0.7631578947368421,1.0,0.0,False,True,8.0,0.02631578947368421,0.8055555555555556,49.111111111111114,False,True,12.0,False,False,False,19.0,4,493.3523385561624
71865,75666,170719799,False,1.0,0.42857142857142855,6.0,0.6666666666666666,True,True,1.0,0.14285714285714285,1.0,1.0,False,False,0.0,False,False,False,9.0,2,6.48275136851117
71873,75675,170722213,False,0.9865911147518048,0.6,1.0,0.16666666666666666,False,True,6.0,0.0,1.0,1.25,False,False,2.0,False,False,False,8.0,1,64.66808840360093
71881,75683,170713008,False,1.0,0.6,1.0,0.0,False,True,1.0,0.06666666666666668,0.8461538461538461,3.5384615384615383,False,True,1.0,False,False,False,7.0,1,64.66808840360093
71884,75686,170729565,False,1.0,0.0,1.0,0.0,True,True,1.0,1.0,1.0,0.0,False,False,2.0,False,False,False,4.0,2,6.48275136851117
71888,75690,170702044,False,1.0,0.6,1.0,0.3333333333333333,False,True,4.0,0.0,0.8965517241379308,3.4482758620689653,False,True,4.0,False,False,False,4.0,1,64.66808840360093
71893,75695,170721351,False,1.0,0.625,1.0,0.4,True,True,1.0,0.0,1.0,1.0,False,False,0.0,False,False,False,3.0,2,6.48275136851117
71894,75696,170711027,False,1.0,0.4838709677419355,1.0,0.0,False,True,4.0,0.0,1.0,1.0,False,True,3.0,False,False,False,3.0,1,64.66808840360093
71897,75699,170702855,False,1.0,0.2307692307692308,1.0,0.0,True,True,0.0,0.5384615384615384,1.0,2.0,False,False,6.0,False,False,False,2.0,2,6.48275136851117
71904,75706,170720893,False,0.983449340893312,0.8947368421052632,1.0,0.5294117647058824,False,True,1.0,0.0,0.7222222222222222,6.5555555555555545,False,True,6.0,False,False,False,2.0,1,64.66808840360093
71920,75722,170705841,False,1.0,0.4,1.0,0.0,False,True,1.0,0.4,1.0,2.0,True,False,0.0,False,False,False,2.0,1,64.66808840360093
71957,75765,170712277,False,0.9987522739313396,0.2222222222222222,1.0,0.3333333333333333,False,True,1.0,0.0,0.8888888888888888,7.5,True,True,1.0,False,False,False,2.0,1,64.66808840360093
71966,75776,170726523,False,0.9694468729203908,0.625,8.0,0.0,False,True,1.0,0.08333333333333333,0.75,10.45,False,True,0.0,False,False,False,2.0,1,64.66808840360093
71992,75802,170728258,False,0.9834569423180164,0.3333333333333333,1.0,0.0,False,False,2.0,0.0,1.0,1.0,False,True,1.0,False,True,False,2.0,1,64.66808840360093
72003,75813,170688204,False,1.0,0.0,0.0,0.0,True,True,6.0,0.9863013698630136,1.0,0.0,False,True,10.0,False,False,False,2.0,2,6.48275136851117
72008,75818,170729936,False,1.0,0.6615384615384615,1.0,0.3953488372093023,False,True,2.0,0.0,0.984126984126984,1.4603174603174602,True,True,2.0,False,False,False,1.0,1,64.66808840360093
72016,75826,170706789,True,1.0,0.4857142857142857,1.0,0.5882352941176471,True,True,1.0,1.0,1.0,0.0,False,False,6.0,False,False,False,1.0,2,6.48275136851117
72017,75827,170728253,False,0.9815319733050479,0.4901960784313725,1.0,0.36,True,True,8.0,0.0,0.7346938775510204,18.836734693877553,True,True,13.0,False,False,False,1.0,4,493.3523385561624
72030,75840,170689734,False,1.0,0.5833333333333334,1.0,0.14285714285714285,False,True,0.0,0.0,1.0,12.636363636363635,False,False,10.0,False,False,False,1.0,1,64.66808840360093
72105,75916,170756177,False,0.9958997026991506,0.0,1.0,0.0,True,True,1.0,1.0,1.0,0.0,False,True,7.0,False,False,False,23.0,2,6.48275136851117
72157,75969,170753869,False,0.9980778785956168,0.7777777777777778,1.0,0.5,False,True,2.0,0.6666666666666666,0.6,6.2,False,False,5.0,False,False,False,5.0,1,64.66808840360093
72164,75976,170741922,False,0.9603984196994084,0.7916666666666666,1.0,0.3684210526315789,True,True,7.0,0.0,1.0,1.2727272727272727,False,False,1.0,False,False,False,6.0,2,6.48275136851117
72165,75977,170756729,False,1.0,0.5,1.0,0.6923076923076923,True,True,7.0,0.0,1.0,1.0,False,False,4.0,False,False,False,4.0,2,6.48275136851117
72170,75982,170740398,False,1.0,0.5806451612903226,1.0,0.16666666666666666,False,True,1.0,0.4838709677419355,0.8666666666666667,8.466666666666667,False,False,9.0,False,False,False,3.0,1,64.66808840360093
72176,75989,170739305,True,1.0,0.40540540540540543,1.0,0.7333333333333333,False,True,1.0,0.0,1.0,1.2571428571428571,False,True,33.0,False,False,False,3.0,3,395.2730464667604
72178,75991,170757243,False,1.0,0.34375,1.0,0.4545454545454545,False,False,1.0,0.0,1.0,1.7,False,True,0.0,False,False,False,2.0,1,64.66808840360093
72188,76001,170757196,True,1.0,0.5,1.0,0.42857142857142855,False,True,2.0,0.5,1.0,1.8333333333333333,False,True,2.0,False,False,False,2.0,1,64.66808840360093
72191,76004,170739007,False,0.8259670210071667,0.7234042553191491,2.0,0.2647058823529412,True,True,1.0,0.0,1.0,1.0217391304347827,False,False,0.0,False,False,False,2.0,2,6.48275136851117
72203,76016,170754854,False,1.0,0.1111111111111111,1.0,0.0,False,True,1.0,0.0,1.0,1.0,False,False,26.0,False,False,False,1.0,3,395.2730464667604
72242,76056,170740407,False,0.9661675666830306,0.5333333333333333,1.0,0.625,False,True,1.0,0.4666666666666667,1.0,4.8,False,True,7.0,False,False,False,1.0,1,64.66808840360093
72243,76057,170751658,False,1.0,0.125,1.0,1.0,False,True,6.0,0.0,1.0,9.428571428571429,False,False,3.0,False,False,False,1.0,1,64.66808840360093
72245,76059,170780458,False,1.0,0.2857142857142857,1.0,1.0,False,False,1.0,0.0,1.0,1.0,False,False,0.0,False,False,False,9.0,1,64.66808840360093
72253,76067,170809416,False,0.929422308525337,0.25,1.0,0.0,False,True,3.0,0.0,0.9090909090909092,3.363636363636364,False,True,5.0,False,False,False,5.0,1,64.66808840360093
72256,76070,170782604,False,0.97478192308871,0.0,1.0,0.0,False,True,1.0,0.6176470588235294,1.0,0.0,False,True,3.0,False,False,False,4.0,1,64.66808840360093
