,nb_id,repo_id,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,has_reqtext,num_stars
53654,56646,168311017,False,1.0,0.625,1.0,0.0,False,True,3.0,0.0,0.9666666666666668,5.033333333333333,False,False,10.0,False,False,False,0.0
53665,56657,168305487,False,0.5846629552742548,0.35714285714285715,1.0,0.1,False,True,1.0,0.0,1.0,1.037037037037037,False,True,23.0,False,False,False,0.0
53691,56684,168316272,False,1.0,0.5714285714285714,1.0,0.5,False,True,1.0,0.8571428571428571,1.0,0.0,False,False,5.0,False,False,False,1.0
53698,56691,168311827,False,0.944324420677362,0.3478260869565217,1.0,0.375,True,True,1.0,0.0,1.0,1.0,False,False,20.0,False,False,False,1.0
53703,56696,168315204,False,0.959237397521828,0.4,2.0,0.0,False,True,2.0,0.6,1.0,2.6666666666666665,False,True,5.0,False,False,False,1.0
53742,56735,168312565,False,0.9947222145587712,0.4047619047619048,1.0,1.0,False,True,4.0,0.14285714285714285,0.96875,3.5,True,True,11.0,False,True,False,0.0
53743,56736,168316758,False,0.9991945816438924,0.5833333333333334,1.0,0.2857142857142857,True,True,1.0,0.0,1.0,1.0,False,True,14.0,False,False,False,0.0
53763,56756,168318491,False,1.0,1.0,2.0,0.0,False,True,1.0,0.0,1.0,6.25,False,True,0.0,False,False,False,0.0
53764,56757,168313723,False,1.0,0.6470588235294118,1.0,0.3636363636363637,True,False,2.0,0.0,1.0,11.076923076923077,False,False,0.0,False,False,False,0.0
53769,56762,168313756,False,0.9897605798946744,0.5,1.0,0.0,False,True,1.0,0.0,1.0,2.3,False,False,11.0,False,False,False,0.0
53789,56782,168312240,False,1.0,0.3,1.0,0.6666666666666666,True,True,1.0,0.0,1.0,1.0,False,False,11.0,False,False,False,0.0
53791,56784,168311660,False,0.5896792902218416,0.6153846153846154,1.0,0.0,False,True,1.0,0.0,1.0,12.166666666666664,False,True,0.0,False,False,False,0.0
53793,56786,168317528,False,1.0,0.6666666666666666,1.0,0.28125,True,True,1.0,0.0,0.8695652173913043,8.5,False,False,1.0,False,False,False,0.0
53797,56790,168312918,False,1.0,0.3414634146341464,1.0,0.5,True,True,1.0,0.23170731707317074,1.0,1.2950819672131149,False,True,11.0,False,False,False,0.0
53826,56824,168314944,False,0.9942288621541964,0.0,1.0,0.0,False,True,1.0,1.0,1.0,0.0,False,True,0.0,False,False,False,0.0
53853,56852,168316069,False,1.0,0.7,1.0,0.9285714285714286,True,True,5.0,0.05,1.0,1.2777777777777777,False,False,2.0,False,False,False,0.0
53859,56858,168318912,False,0.9912765913589926,0.6111111111111112,4.0,0.045454545454545456,False,True,1.0,0.0,0.9714285714285714,1.0857142857142856,False,True,5.0,False,False,False,0.0
53928,56927,168320366,False,0.9000140541715023,0.8,1.0,0.875,True,True,1.0,0.1,1.0,2.25,False,False,3.0,False,False,False,6.0
53933,56932,168322542,False,1.0,0.7,1.0,0.0,True,True,1.0,0.0,1.0,1.875,False,False,0.0,False,False,False,2.0
53946,56945,168321109,False,0.977273955726346,0.6666666666666666,2.0,0.0,False,True,1.0,0.037037037037037035,0.8333333333333334,12.041666666666664,False,False,7.0,False,False,False,1.0
53964,56963,168327988,False,1.0,0.5714285714285714,1.0,0.0,False,True,1.0,0.0,1.0,1.0,False,False,1.0,False,False,False,0.0
53970,56969,168327870,False,1.0,0.8181818181818182,1.0,1.0,True,True,1.0,0.0,1.0,1.3333333333333333,False,False,0.0,False,False,False,0.0
53971,56970,168328347,False,1.0,0.8333333333333334,1.0,0.0,True,True,1.0,0.0,0.8,19.4,False,False,1.0,False,False,False,0.0
53974,56973,168323266,False,1.0,0.7555555555555555,1.0,0.35294117647058826,True,True,4.0,0.13333333333333333,1.0,1.5135135135135136,False,False,0.0,False,False,False,0.0
53994,56993,168323116,False,1.0,0.7407407407407407,1.0,0.2,False,True,1.0,0.0,0.92,2.92,False,False,0.0,False,False,False,0.0
53997,56996,168324812,False,1.0,0.4545454545454545,1.0,0.2,False,True,1.0,0.0,1.0,1.0,False,False,21.0,False,False,False,0.0
54015,57015,168320580,False,1.0,0.33962264150943394,1.0,0.6111111111111112,True,True,1.0,0.0,0.7647058823529411,2.392156862745098,True,True,1.0,False,False,False,0.0
54018,57019,168325171,False,1.0,0.6060606060606061,1.0,0.0,False,True,1.0,0.0,0.935483870967742,3.3548387096774195,True,False,1.0,False,False,False,0.0
54023,57024,168324809,False,1.0,0.72,1.0,0.6296296296296297,False,True,5.0,0.0,1.0,1.0,False,False,4.0,False,False,False,0.0
54024,57025,168321460,False,0.9944035867843056,0.6153846153846154,2.0,0.0,False,True,1.0,0.0,0.86,4.66,True,True,53.0,False,False,False,0.0
54032,57034,168330991,False,1.0,0.7692307692307693,1.0,0.85,False,True,1.0,0.0,1.0,1.2916666666666667,True,True,17.0,False,False,False,4.0
54034,57036,168331536,False,1.0,0.29411764705882354,4.0,0.0,False,True,2.0,0.05882352941176471,1.0,1.1428571428571428,False,True,14.0,False,False,False,2.0
54043,57045,168330815,False,1.0,0.3888888888888889,1.0,0.0,False,True,1.0,0.0,0.8823529411764706,4.352941176470588,False,True,24.0,False,False,False,1.0
54047,57049,168329078,False,1.0,0.0,1.0,0.0,False,True,1.0,1.0,1.0,0.0,False,False,0.0,False,False,False,1.0
54054,57056,168334453,False,1.0,0.631578947368421,1.0,0.0,False,True,1.0,0.0,1.0,1.0,False,True,0.0,False,False,False,0.0
54060,57062,168333160,False,1.0,0.4507042253521127,1.0,0.1875,False,True,1.0,0.0,0.8142857142857143,10.414285714285716,False,True,10.0,False,False,False,0.0
54061,57063,168328472,False,1.0,0.4,1.0,0.5,True,True,1.0,0.45,1.0,1.0,True,False,0.0,False,False,False,0.0
54066,57081,168333189,False,1.0,0.4444444444444444,1.0,0.0,False,False,1.0,0.0,1.0,2.0,False,False,0.0,False,False,False,0.0
54098,57134,168334355,False,1.0,0.4444444444444444,1.0,0.25,False,False,3.0,0.0,1.0,1.25,False,False,0.0,False,False,False,0.0
54099,57135,168329779,False,1.0,0.5,1.0,0.875,False,True,1.0,0.125,1.0,1.0,False,False,1.0,False,False,False,0.0
54100,57136,168333803,False,1.0,0.3809523809523809,1.0,0.5,False,True,1.0,0.13095238095238096,1.0,1.0,True,False,0.0,False,False,False,0.0
54101,57137,168333412,False,0.9353312909386896,0.2222222222222222,1.0,1.0,False,True,1.0,0.7777777777777778,1.0,1.0,False,True,8.0,False,False,False,0.0
54102,57138,168329793,False,1.0,0.8166666666666667,1.0,0.3877551020408163,True,True,1.0,0.016666666666666666,0.8947368421052632,8.140350877192983,False,True,13.0,False,False,False,0.0
54104,57140,168331984,False,1.0,0.4883720930232558,1.0,0.2857142857142857,False,True,1.0,0.0,0.9,4.025,True,True,5.0,False,False,False,0.0
54106,57142,168331836,False,1.0,0.7777777777777778,1.0,0.5357142857142857,True,True,1.0,0.0,1.0,1.5,False,False,2.0,False,False,False,0.0
54111,57147,168333646,False,1.0,0.42105263157894735,1.0,0.0,False,True,2.0,0.0,0.875,5.75,True,False,6.0,False,True,False,0.0
54119,57158,168331925,False,1.0,0.44,1.0,0.2727272727272727,False,True,2.0,0.0,0.9565217391304348,5.565217391304348,False,False,7.0,False,False,False,0.0
54125,57165,168334272,False,1.0,0.4666666666666667,1.0,0.42857142857142855,False,True,2.0,0.0,1.0,1.0,False,False,1.0,False,False,False,0.0
54126,57166,168331243,False,1.0,0.6734693877551021,1.0,0.2424242424242425,True,True,1.0,0.0,0.9787234042553192,3.148936170212766,False,False,6.0,False,True,False,0.0
54127,57167,168330808,False,0.9970634770741534,0.42424242424242425,1.0,0.42857142857142855,False,True,5.0,0.8787878787878788,1.0,19.33333333333333,False,True,5.0,False,False,False,0.0
54135,57175,168336983,False,0.9897179726027828,0.625,1.0,0.6,True,True,1.0,0.0625,1.0,5.666666666666668,False,False,2.0,False,False,False,21.0
54149,57189,168341871,False,0.9952294682487662,0.7,1.0,0.42857142857142855,False,True,1.0,0.0,1.0,1.0,False,False,0.0,False,False,False,2.0
54151,57191,168343410,False,0.9283444455597892,0.0,3.0,0.0,True,True,1.0,1.0,1.0,0.0,False,False,2.0,False,False,False,1.0
54165,57205,168339680,False,0.9998224269667482,0.52,1.0,0.0,True,False,1.0,0.0,1.0,2.863636363636364,False,False,2.0,False,True,False,1.0
54182,57222,168340607,False,1.0,0.7857142857142857,1.0,0.3636363636363637,True,True,3.0,0.0,1.0,1.8461538461538465,False,False,1.0,False,False,False,1.0
54185,57225,168341176,False,1.0,0.16666666666666666,1.0,0.4,False,True,1.0,0.0,0.9642857142857144,6.642857142857142,False,True,26.0,False,False,False,0.0
54187,57227,168336713,False,1.0,0.3088235294117647,1.0,0.4761904761904762,True,True,1.0,0.014705882352941175,0.913793103448276,18.96551724137931,False,False,4.0,False,False,False,0.0
54194,57234,168340595,False,1.0,0.3870967741935484,1.0,0.0,False,True,1.0,0.6129032258064516,0.8181818181818182,34.27272727272727,False,False,2.0,False,False,False,0.0
54195,57235,168336825,False,1.0,0.9682539682539684,1.0,0.06557377049180327,True,True,1.0,0.0,1.0,1.806451612903225,False,True,1.0,False,False,False,0.0
54198,57238,168340769,False,0.315582865082392,0.8695652173913043,1.0,0.15,True,True,1.0,0.043478260869565216,0.9523809523809524,4.285714285714286,False,False,3.0,False,False,False,0.0
54223,57263,168337020,False,1.0,1.0,1.0,0.6666666666666666,False,False,7.0,0.0,0.8,1.4,False,False,0.0,False,False,False,0.0
54251,57291,168337016,False,1.0,0.8148148148148148,1.0,0.9545454545454546,False,True,1.0,0.0,0.96,1.24,False,False,3.0,False,False,False,0.0
54254,57294,168336849,False,1.0,0.5194805194805194,1.0,0.325,True,True,5.0,0.5194805194805194,0.9722222222222222,4.194444444444445,False,True,2.0,False,False,False,0.0
54255,57295,168338789,False,1.0,0.4743589743589744,1.0,0.7297297297297297,False,False,5.0,0.0,1.0,1.0129870129870129,False,False,1.0,False,False,False,0.0
54257,57297,168338073,False,0.6352086021505376,0.0,1.0,0.0,True,True,1.0,0.9444444444444444,1.0,0.0,False,False,0.0,False,False,False,1.0
54267,57309,168337597,False,1.0,0.9545454545454546,0.0,0.09523809523809523,True,True,1.0,0.0,0.9,1.45,False,False,2.0,False,False,False,0.0
54275,57321,168341656,False,0.997533378845702,0.4363636363636363,1.0,0.2083333333333333,True,True,1.0,0.0,0.8148148148148148,9.185185185185183,False,True,4.0,False,False,False,0.0
54276,57322,168342727,False,0.7905293128255011,0.9090909090909092,3.0,0.45,True,True,2.0,0.0,1.0,1.0,False,False,12.0,False,False,False,0.0
54300,57346,168338562,False,1.0,0.813953488372093,1.0,0.4857142857142857,True,True,1.0,0.0,1.0,1.0,False,False,2.0,False,False,False,0.0
54308,57354,168340774,False,0.664698358984,0.42857142857142855,30.0,0.0,False,True,1.0,0.0,0.75,3.25,True,True,0.0,False,False,False,0.0
54313,57360,168348296,False,0.6485335516247944,0.25,9.0,0.0,False,True,1.0,0.0,1.0,3.0,False,False,4.0,False,False,False,63.0
54330,57377,168345639,False,0.9986150835933708,0.4318181818181818,4.0,0.5789473684210527,False,True,3.0,0.022727272727272728,0.975609756097561,2.024390243902439,False,True,4.0,False,False,False,9.0
54338,57386,168345397,False,1.0,0.3333333333333333,1.0,1.0,False,True,1.0,0.0,1.0,1.0,False,False,1.0,False,False,False,6.0
54343,57391,168348687,False,1.0,0.16666666666666666,1.0,0.4,False,True,1.0,0.0,0.9642857142857144,6.642857142857142,False,True,26.0,False,False,False,1.0
54348,57398,168348175,False,1.0,0.6206896551724138,1.0,0.3888888888888889,True,True,1.0,0.0,1.0,1.0,False,False,0.0,False,False,False,1.0
54349,57399,168347406,False,1.0,0.3176470588235294,1.0,0.0,False,True,1.0,0.29411764705882354,0.7894736842105263,18.21052631578948,True,False,25.0,False,False,False,1.0
54356,57406,168350656,False,1.0,1.0,1.0,0.07142857142857142,True,True,1.0,0.0,1.0,2.0,False,False,0.0,False,False,False,1.0
