nb_id,repo_id,has_param,num_stars
1116456,85579446,False,0
111662,15124520,False,0
1116997,29982328,False,5
1117336,79355064,False,0
1117496,79355064,False,0
1117532,80882387,False,0
1117569,40394406,False,0
1118096,47655725,False,4
111813,69252304,False,18
111814,69252304,False,18
1118358,80881129,False,0
1118390,70144120,False,0
1118957,45655960,False,3
1118973,66648897,False,2
1119218,59786452,False,0
1119348,27120641,False,6
1119839,67082558,False,0
1119994,72466386,False,0
112013,35284655,False,0
1120475,42681100,False,0
1120739,31608348,False,0
1120754,68233974,False,0
1120853,60435970,False,0
1121885,34647497,False,0
1122090,67945149,False,2
1122309,47042287,False,12
1122355,96188406,False,1
1122469,43584002,False,10
1122649,43584002,False,10
1122781,20816340,False,0
1123054,61178891,False,0
1123224,49469452,False,0
1123396,4045820,False,9
1123563,15124520,False,0
1123576,52626322,False,0
1123577,52626322,False,0
1123614,68062775,False,0
1123951,20816340,False,0
1123959,54905222,False,0
1124069,48731603,False,0
1124193,54905222,False,0
1124332,89841839,False,0
1124575,38447805,False,0
1124656,22997582,False,1
1125284,40163668,False,0
1125592,49469452,False,0
11258,76602490,False,0
1125803,95883737,False,0
1125940,52626322,False,0
1126005,63446742,False,0
1126006,63446742,False,0
1126520,52416266,False,1
1126645,89283407,False,0
1126915,52626322,False,0
1126916,52626322,False,0
1127181,94597550,False,0
112721,45106953,False,0
1127370,89099984,False,0
1127398,23371881,False,1
1127899,75093696,False,0
1128141,51873666,False,1
112824,39974245,False,0
1128491,91588629,False,0
1128648,95004508,False,0
1128681,91588629,False,0
1128690,51873666,False,1
1128711,49469452,False,0
1128795,36200517,False,10
112899,73209564,False,49
1129755,88397625,False,1
113010,52626322,False,0
1130188,43523860,False,0
1130330,43523860,False,0
1131345,59449956,False,0
1131499,75567150,False,0
1132027,95959826,False,0
1132364,87832338,False,0
1132414,61477561,False,1
1132575,93332530,False,0
1132838,30734070,False,1
1132849,51873666,False,1
1133012,68062775,False,0
1133013,68062775,False,0
1133603,23398634,False,3
1133917,26829069,True,0
1134212,76670855,False,0
1134241,95521008,False,0
1134311,63036531,False,129
1134345,22551349,False,14
1134346,22551349,False,14
1134895,38447805,False,0
1135204,75567150,False,0
1135265,95175467,False,0
1135499,74897953,False,0
1135585,74897953,False,0
1135997,83947009,False,0
113623,96592997,False,1
113633,50963768,False,0
1136705,55952847,False,3
1136775,76602490,False,0
1136843,73992416,False,0
1136959,95883737,False,0
113698,27120641,False,6
1137118,41806912,False,0
1137182,37674194,False,3
1137183,37674194,False,3
1137262,44220745,False,0
1137445,79238732,False,0
1137533,39704412,False,0
1137534,39704412,False,0
1137702,39704412,False,0
1137703,39704412,False,0
1137941,39310916,False,0
1138171,39310916,False,0
1138838,22551349,False,14
1138839,22551349,False,14
1139511,61178891,False,0
1139588,47644193,False,0
1139974,85972539,False,0
1140296,45106953,False,0
1140407,15124520,False,0
1140592,15124520,False,0
1140874,63036531,False,129
1141159,38447805,False,0
1141241,70043832,False,2
1141796,16646759,False,0
1142369,74897953,False,0
1142370,74897953,False,0
1143341,59786452,False,0
1143423,59786452,False,0
1143424,59786452,False,0
1143494,39704412,False,0
1143495,39704412,False,0
1144469,37674194,False,3
1144479,83947009,True,0
1144480,83947009,True,0
1145074,63903754,False,2
1145274,47583155,False,0
1145705,22551349,False,14
1145930,88397625,False,1
1146827,74897953,False,0
114718,55179614,False,1
1147303,47778684,False,0
1147531,74763712,False,0
1147793,63036531,False,129
1148002,95717000,False,0
114823,45106953,False,0
1148269,94983040,False,0
