nb_id,repo_id,longer_beginning,longer_ending,has_author,is_education,language,has_links,has_comments
1228974,52626322,True,False,False,False,python,False,True
1228450,92098416,True,False,False,True,python,False,False
332131,22551349,True,True,False,True,python,False,True
398087,84757143,True,False,False,True,python,True,True
1084380,52626322,True,False,False,False,python,False,True
1205767,68715936,False,False,False,True,python,False,True
409859,40454044,,,False,False,python,,True
132929,39704412,False,False,False,False,python,False,True
165523,88224864,,,False,False,python,,True
958614,74897953,False,True,False,False,python,True,True
483014,72426266,True,False,False,False,python,True,True
226341,52626322,True,False,False,False,python,False,True
23582,73471172,,,False,False,python,,True
746468,73230945,,,False,False,python,,True
1136705,55952847,True,False,False,False,python,False,True
55844,39704412,False,False,False,False,python,False,True
116580,95004508,False,False,False,False,R,True,
682530,30062330,,,False,False,python,,True
495396,75626605,True,False,False,True,python,False,True
229754,92846628,True,False,False,True,python,True,True
522641,75626605,True,False,False,True,python,True,True
1235392,66764541,True,False,True,False,python,True,True
1197694,51873666,False,True,False,True,python,False,False
543775,86878862,,,False,False,python,,True
898492,88803897,False,False,False,False,python,False,True
1116997,29982328,False,False,False,False,python,False,False
476404,39974245,False,False,False,True,python,False,True
1088554,34647497,,,False,False,python3,,False
971262,35284655,True,False,False,False,python,False,True
1180293,95175467,,,False,False,python,,True
620540,85733763,,,False,False,python,,True
1088843,52626322,True,False,False,False,python,False,True
392194,39974245,,,False,True,python,,True
158694,52626322,True,False,False,False,python,False,True
20354,17390739,,,False,False,python,,False
132329,94522055,False,False,False,False,python,False,True
349389,65643578,False,True,False,False,python,True,True
717110,47644193,False,False,False,False,python,True,True
540957,66282949,True,False,False,True,python,True,True
765127,91462487,False,True,False,True,python,True,True
1057077,59801052,False,False,False,False,python,True,True
903167,91127476,,,,False,python,,True
49310,38890132,,,False,False,python,,True
989202,89015675,False,True,False,True,python,True,True
1198770,95828432,False,True,False,False,python,False,True
884271,76065931,,,False,False,python,,False
1071715,74607081,,,False,False,python,,True
945153,84522996,False,False,False,False,python,True,True
778447,62939462,True,True,False,True,python,False,True
596727,95175467,,,False,False,python,,True
737034,82362626,False,False,False,False,python,False,True
899187,48731603,True,False,False,True,,True,
977799,72426266,False,False,False,True,python,False,True
1008479,22551349,True,True,False,True,python,True,True
261607,73537105,False,False,False,True,,True,
851751,93965316,True,False,True,True,python,True,True
180303,24748843,False,True,False,True,python,False,True
14342,36578950,True,True,,True,python,False,True
285087,94304084,,,False,False,python,,False
743106,75567150,True,False,False,True,python,True,True
884528,74897953,True,False,False,True,python,True,True
697852,60435970,False,False,False,True,python,False,True
1123959,54905222,True,False,False,True,python,True,True
327992,39964941,,,False,True,python,,True
721849,39974245,False,False,False,True,python,False,True
126425,49660479,True,False,False,False,python,False,True
444905,22551349,True,False,False,True,python,False,True
757101,52626322,True,False,False,False,python,False,True
681498,79741089,,,False,False,python,,True
357562,92641079,,,False,False,python,,False
683862,81639387,False,False,False,True,python,False,True
468238,90909152,False,False,False,True,python,True,True
86379,69252304,False,False,False,False,python,True,True
948536,81190104,,,False,False,python,,False
833754,68017955,False,True,False,True,python,False,True
14341,36578950,True,True,,False,python,False,True
1158559,70752864,,,False,False,python,,True
