,nb_id,longer_beginning,longer_ending,has_author,has_equation,jupyter_prop,output_cell_prop,markdown_prop,num_contrib,image_prop,is_education,has_links,has_comments,md_frequency,has_title,num_commits,md_format,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,num_headers,has_param,num_stars
190,99645,False,False,False,True,high,medium,medium,lower,low,True,False,True,medium,False,lower,True,low,higher,higher,False,True,lower,False,low,False,lower
191,102165,False,False,False,False,high,medium,medium,lower,low,True,False,True,medium,True,lower,False,low,higher,lower,False,False,lower,False,medium,False,lower
192,102450,False,True,False,False,high,medium,medium,lower,low,True,True,True,medium,True,lower,False,low,higher,higher,False,False,lower,False,medium,False,lower
193,103058,True,False,False,False,high,medium,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False,False,lower,False,low,False,lower
194,104649,True,False,False,False,high,medium,medium,lower,high,True,False,True,high,True,lower,True,low,higher,lower,False,False,higher,False,medium,False,lower
195,105347,True,False,False,False,high,medium,medium,lower,medium,False,False,True,high,False,lower,False,low,higher,lower,False,False,lower,False,low,False,lower
196,105406,False,False,False,False,high,medium,medium,lower,medium,False,False,True,medium,False,lower,False,low,higher,lower,False,False,lower,False,low,False,lower
197,105985,False,False,False,False,medium,medium,low,higher,low,False,False,True,low,False,higher,False,low,higher,lower,False,True,lower,False,low,False,lower
198,107014,True,False,False,True,low,low,medium,higher,low,False,False,True,medium,True,lower,False,low,higher,lower,False,False,lower,False,medium,False,higher
199,107910,False,False,False,False,high,high,medium,lower,medium,True,False,True,high,False,lower,False,low,higher,lower,False,False,lower,False,high,False,lower
200,107911,False,False,False,False,high,high,medium,lower,medium,True,False,True,high,False,lower,False,low,higher,lower,False,False,lower,False,high,False,lower
201,108304,True,False,False,True,high,medium,medium,lower,low,True,True,True,medium,True,lower,True,low,higher,lower,True,False,higher,False,high,False,lower
202,108557,True,False,False,False,high,high,medium,lower,high,False,True,True,medium,False,lower,True,low,higher,lower,False,False,lower,False,medium,False,lower
