,nb_id,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,num_stars
193,177246,False,medium,low,lower,low,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
194,177505,False,low,low,lower,low,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
195,180494,False,high,medium,lower,medium,False,True,higher,lower,higher,lower,False,True,lower,False,False,lower
196,181148,False,low,medium,lower,low,False,True,lower,lower,higher,lower,False,True,higher,False,False,lower
197,184914,False,high,low,lower,low,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
198,185233,False,medium,medium,lower,low,True,False,lower,lower,lower,lower,False,False,lower,False,False,lower
199,185852,False,high,high,lower,low,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
200,186253,False,high,medium,lower,high,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
201,186981,False,high,low,lower,low,False,True,higher,lower,higher,lower,False,True,lower,False,False,lower
202,187130,False,low,medium,lower,low,False,True,lower,lower,higher,lower,True,False,lower,False,False,lower
203,187881,False,high,medium,lower,medium,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
204,188205,False,high,medium,lower,medium,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
205,188505,False,medium,medium,lower,medium,False,False,lower,lower,higher,lower,False,False,higher,False,False,lower
206,189944,False,medium,low,lower,low,False,True,higher,higher,higher,lower,False,False,lower,False,False,lower
207,189945,False,medium,low,lower,low,False,True,higher,higher,higher,lower,False,False,lower,False,False,lower
208,190731,False,high,medium,lower,low,False,True,lower,lower,higher,lower,True,False,lower,False,False,lower
209,191175,False,high,low,lower,low,False,False,lower,lower,lower,lower,False,False,lower,False,False,lower
210,192190,False,high,medium,lower,low,False,True,higher,lower,higher,lower,False,False,higher,False,False,lower
211,192280,False,high,medium,lower,low,False,True,higher,lower,higher,lower,False,False,higher,False,False,lower
212,192555,False,high,low,lower,low,False,False,higher,higher,higher,lower,False,True,lower,False,False,lower
213,192556,False,high,low,lower,low,False,False,higher,higher,higher,lower,False,True,lower,False,False,lower
214,195077,False,low,high,lower,low,False,False,lower,lower,higher,lower,False,False,lower,False,False,higher
215,195102,False,high,medium,lower,medium,True,True,lower,lower,higher,lower,True,False,lower,False,False,higher
216,196905,False,high,medium,lower,low,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
217,197008,False,medium,high,lower,low,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
218,198198,False,high,low,lower,low,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
219,198846,False,high,low,higher,low,False,True,lower,lower,higher,lower,False,True,higher,False,False,lower
220,199834,False,high,medium,lower,high,False,True,lower,lower,lower,lower,False,False,lower,False,False,lower
221,200074,False,high,medium,lower,high,False,True,lower,lower,lower,lower,False,False,lower,False,False,lower
222,200504,False,high,low,lower,low,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
223,203121,False,high,medium,lower,medium,False,True,higher,lower,higher,lower,False,True,lower,False,False,lower
